Rank,Song,Artist,Times Played,Percentage
1,Can't Help Falling in Love,Elvis Presley,22,71.0%
2,Until I Found You,Stephen Sanchez,13,41.9%
3,Terima Kasih Cinta,Afgan,12,38.7%
4,A Thousand Years,Christina Perri,11,35.5%
5,Kaulah Segalanya,Ruth S,10,32.3%
6,Bukan Cinta Biasa,Siti Nurhaliza,10,32.3%
7,Perfect,Ed Sheeran,9,29.0%
8,Belaian Jiwa,Innuendo,8,25.8%
9,Endless Love,Lionel Richi,7,22.6%
10,Selawat Badar,Unknown,4,12.9%
11,Sedetik Lebih,Anuar Zain,4,12.9%
12,Sempurna,Alexandra & The Backbone,3,9.7%
13,Beautiful In White,Shane Filan,3,9.7%
14,Until I Found You,Unknown,2,6.5%
15,Nothings Gonna Change My Love For You,George Benson,2,6.5%
16,Gurindam Jiwa,R. Ismail & Rafeah Buang,2,6.5%
17,Keabadian Cinta,Anuar Zain,2,6.5%
18,Only,Lee Hi,2,6.5%
19,Make You Feel My Love,Adele,2,6.5%
20,Saloma,Selamat Pengantin Baru,1,3.2%
21,SEVENTEEN,"Same Dream, Same Mind, Same Night",1,3.2%
22,[ALTO KEY C] JANAM-JANAM,Unknown,1,3.2%
23,A Thousand Years,Christina Perri (2),1,3.2%
24,Can't Help Falling in Love,Elvis Presley (3),1,3.2%
25,Perfect,Ed Sheeran (2),1,3.2%
26,Malam Bulan Dipagar Bintang,P.Ramlee,1,3.2%
27,Taylor (Original Key),Love Story,1,3.2%
28,Orignal Key,Satu Shaf Belakangku,1,3.2%
29,beautiful in whhite c major,Unknown,1,3.2%
30,Until i Found you (Ori),Unknown,1,3.2%
31,Al Iktiraf,Unknown,1,3.2%
32,Mencintaimu,Krisdayanti,1,3.2%
33,Janam Janam,Unknown,1,3.2%
34,Penjaga Hati,Nadhif Basalamah,1,3.2%
35,Can't Help Falling in Love,Unknown,1,3.2%
36,Never Enough,Loren Allred,1,3.2%
37,You'll Be In My Heart,Phil Collins,1,3.2%
38,Sampai Jadi Debu,Banda Neira,1,3.2%
39,Young and Beautiful,Lana Del Ray,1,3.2%
40,Satu Shaf Di Belakangku,Arvian Dwi,1,3.2%
41,My All,Mariah Carey,1,3.2%
42,Anugerah Terindah,Andmesh Kamaleng,1,3.2%
43,Kisah Cinta Kita,Hafiz Suip,1,3.2%
44,Forever In Love,Kenny G,1,3.2%
45,Stargazing,Myles Smith,1,3.2%
46,Bawalah Cintaku,Afgan,1,3.2%
